cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,cell ,,,,,,,,cell ,,,,,,cell ,,,,,,,,cell ,,,,,,,,,cell ,,,,,,,,
1,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,5,,,,,,6,,,,,,,,7,,,,,,,,,8,,,,,,,,
Cell_01_0031_SpTimes,Cell_01_0032_SpTimes,Cell_01_0033_SpTimes,Cell_01_0034_SpTimes,Cell_01_0035_SpTimes,Cell_01_0036_SpTimes,Cell_01_0037_SpTimes,Cell_01_0038_SpTimes,Cell_01_0039_SpTimes,Cell_01_0040_SpTimes,,Cell_01_0041_SpTimes,Cell_01_0042_SpTimes,Cell_01_0043_SpTimes,Cell_01_0044_SpTimes,Cell_01_0045_SpTimes,Cell_01_0046_SpTimes,Cell_01_0047_SpTimes,Cell_01_0048_SpTimes,Cell_01_0049_SpTimes,Cell_01_0050_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0105_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0109_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0111_SpTimes,Cell_01_0112_SpTimes,Cell_01_0113_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,,Cell_01_0003_SpTimes,Cell_01_0005_SpTimes,Cell_01_0006_SpTimes,Cell_01_0008_SpTimes,Cell_01_0009_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0112_SpTimes,Cell_01_0114_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,Cell_01_0119_SpTimes,Cell_01_0120_SpTimes,,Cell_01_0121_SpTimes,Cell_01_0122_SpTimes,Cell_01_0123_SpTimes,Cell_01_0124_SpTimes,Cell_01_0125_SpTimes,Cell_01_0127_SpTimes,Cell_01_0128_SpTimes,Cell_01_0129_SpTimes,Cell_01_0130_SpTimes
1.85047,2.03137,1.34176,2.07877,1.81911,1.70778,2.04072,1.79806,1.89592,1.95115,,0.700056,0.588541,0.730935,0.66604,0.800226,0.778889,0.870107,1.23055,0.831136,0.982281,,2.24145,2.18734,2.40318,2.77091,2.5134,2.66136,2.16718,2.46963,2.3216,,3.80678,1.60526,1.57056,1.9727,2.43458,2.66313,1.65422,,0.411762,6.60277,0.528738,5.09032,0.503555,,0.534373,0.552613,0.490895,0.572311,0.532522,0.515634,0.578253,,0.810121,0.29194,0.260352,0.694265,0.844955,0.891143,0.298792,0.27761,,0.83223,0.270196,0.834554,0.7765,0.898902,0.304545,0.289898,0.861538,0.675127
1.94292,2.11688,1.37177,2.16937,1.91938,1.7881,2.13487,1.89909,1.99398,2.04631,,0.735001,0.623589,0.747528,0.703575,0.838339,0.816739,0.907952,1.27979,0.87283,1.01842,,2.50501,2.26847,2.4909,2.90137,2.66914,2.79997,2.24136,2.6046,2.48374,,3.88851,1.65173,1.62899,2.01733,2.48493,2.76804,1.7859,,0.428888,6.62759,0.553123,5.11622,0.524144,,0.558783,0.579499,0.516664,0.599508,0.555186,0.542312,0.582802,,0.852165,0.299077,0.272004,0.709299,0.886278,0.931309,0.316416,0.281707,,0.873581,0.293191,0.886667,0.824892,0.939641,0.313713,0.291109,0.906106,0.721302
2.03178,2.19816,1.45027,2.27047,2.00597,1.86621,2.22231,1.99441,2.09081,2.13713,,0.770138,0.653407,0.786201,0.742355,0.875467,0.852662,0.945582,1.39038,0.905921,1.08595,,2.59081,2.37678,2.65509,2.99753,2.77605,2.8818,2.35824,2.71561,2.55072,,3.96361,1.71614,1.6728,2.06795,2.53781,2.8405,1.83873,,0.448218,6.64971,0.579444,5.13889,0.545243,,0.571361,0.60457,0.541196,0.627763,0.582053,0.574231,0.608191,,0.895442,0.307929,0.29367,0.733216,0.928814,0.976343,0.322287,0.30919,,0.910332,0.307884,0.899123,0.863517,0.9784,0.330687,0.303773,0.950205,0.763441
2.12584,2.28376,1.52632,2.36465,2.09252,1.9533,2.31215,2.09133,2.18032,2.21511,,0.807969,0.692701,0.821522,0.780005,0.91129,0.887174,0.982672,1.42952,0.917751,1.1268,,2.65975,2.48777,2.75169,3.15415,2.86001,3.13527,2.4214,2.82524,2.67913,,4.02696,1.78784,1.72384,2.20386,2.66407,2.89877,1.93514,,0.462631,6.67114,0.605134,5.21711,0.564162,,0.588497,0.630896,0.569437,0.654552,0.610751,0.604552,0.636879,,0.897685,0.31962,0.305184,0.778223,0.967102,1.02836,0.342909,0.321213,,0.952962,0.311439,0.932479,0.911007,1.01871,0.35188,0.326115,0.997243,0.803132
2.2264,2.36304,1.58492,2.46077,2.2042,2.00573,2.41202,2.17295,2.26957,2.3136,,0.844319,0.727924,0.858333,0.818695,0.948888,0.924682,1.01885,1.46547,0.9409,1.16147,,2.74374,2.61373,2.85757,3.27819,3.01447,3.20903,2.51012,3.02169,2.8591,,4.10485,1.84703,1.82835,2.2569,2.74079,2.96143,2.00005,,0.480389,6.69291,0.63644,5.24687,0.595381,,0.615522,0.657869,0.596037,0.68287,0.637649,0.607339,0.665124,,0.945711,0.334811,0.306841,0.818323,0.972239,1.0733,0.356446,0.332951,,0.996538,0.330695,0.971083,0.91366,1.0609,0.355579,0.334407,1.04336,0.808779
2.32074,2.45715,1.62257,2.55788,2.30313,2.09034,2.48011,2.25678,2.44584,2.4133,,0.875769,0.759896,0.895272,0.854694,0.983978,0.95703,1.05537,1.50042,0.975599,1.19624,,2.83815,2.82127,2.94711,3.44861,3.12075,3.31731,2.58484,3.11643,3.07582,,4.15853,1.95157,1.87303,2.39323,2.85949,3.07721,2.06295,,0.498667,6.71566,0.660465,5.26609,0.614119,,0.644046,0.682275,0.622921,0.709928,0.661923,0.631982,0.694475,,0.997192,0.336092,0.323706,0.857059,1.01288,1.11767,0.362956,0.346456,,1.03459,0.348352,1.01458,0.948712,1.10506,0.383907,0.346872,1.09211,0.853352
2.41077,2.55018,1.67283,2.6457,2.40229,2.15766,2.54875,2.34672,2.51246,2.50676,,0.908305,0.799784,0.932221,0.914516,1.05632,0.994838,1.09263,1.57181,1.01019,1.22955,,2.89884,2.93781,3.07385,3.54182,3.23085,3.49603,2.75439,3.19933,3.23314,,4.27766,2.79878,1.93604,2.47575,2.94166,3.13457,2.10989,,0.514786,6.73947,0.687226,5.2908,0.637761,,0.672498,0.708628,0.649761,0.736559,0.687541,0.659298,0.728494,,1.03891,0.337333,0.343968,0.89881,1.05903,1.16382,0.380697,0.359063,,1.07514,0.367307,1.05881,0.953052,1.14559,0.398183,0.352655,1.13881,0.89958
2.50899,2.63687,1.71765,2.73202,2.5063,2.23079,2.65811,2.4409,2.59325,2.58813,,0.946222,0.836455,0.966953,0.93114,1.09408,1.00067,1.1257,1.60937,1.04559,1.29615,,2.96722,3.04076,3.27041,3.63736,3.32135,3.575,2.8664,3.31506,3.34837,,4.33413,2.88609,2.02675,2.54718,3.03445,3.20761,2.16393,,0.532957,6.76363,0.706105,5.31068,0.654309,,0.697742,0.73572,0.675538,0.763437,0.719306,0.687236,0.757685,,1.08546,0.353661,0.363015,0.937861,1.09904,1.21654,0.39626,0.364991,,1.11849,0.381814,1.10615,0.982675,1.18774,0.408137,0.372476,1.18532,0.945293
2.59862,2.71689,1.75746,2.8231,2.5877,2.32318,2.74854,2.51828,2.66937,2.67516,,0.983164,0.871473,1.00276,0.963626,1.12691,1.03393,1.23566,1.64586,1.14625,1.33072,,3.04589,3.13689,3.43483,3.71422,3.41792,3.6472,2.98948,3.42722,3.46701,,5.30672,2.98631,2.06655,2.66479,3.19698,3.26721,2.22572,,0.553219,6.78295,0.729518,5.33226,0.67373,,0.72481,0.762705,0.700881,0.791004,0.747194,0.712618,0.784912,,1.12633,0.367152,0.376637,0.979354,1.14352,1.2559,0.416238,0.390657,,1.15906,0.392638,1.14455,0.992526,1.23283,0.430375,0.377099,1.22905,0.986578
2.6962,2.80535,1.82498,2.91644,2.68115,2.41166,2.84373,2.61841,2.75593,2.7689,,1.02621,0.909981,1.03568,1.00022,1.16772,1.07075,1.27079,1.71143,1.2176,1.53917,,3.17201,3.22147,3.56673,3.78529,3.51031,3.71982,3.07438,3.55418,3.5852,,5.3967,3.0501,2.13483,2.76562,3.48023,3.34296,2.2763,,0.564706,6.80297,0.751903,5.35354,0.693786,,0.753547,0.787684,0.726769,0.824292,0.772464,0.713975,0.813728,,1.17291,0.37672,0.389074,1.00539,1.1775,1.30421,0.435828,0.400652,,1.19933,0.401401,1.18863,1.03147,1.27769,0.435722,0.387965,1.28024,1.02906
